state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi
AL,2022,4916000,0.645,0.252,0.048,0.014,0.002,N/A,0.039,59910,13.6,2.5,1.2,57,88.8,28.8,217335.1989
AL,2021,4900800,0.644,0.255,0.047,0.013,0.004,N/A,0.037,56930,15.9,3.4,2,56.6,87.9,27.4,193148.7979
AL,2020,0,0,0,0,0,0,0,0,54690,14.9,6.4,1.4,57.2,88,27.8,169855.5743
AL,2019,4767100,0.654,0.265,0.044,0.014,0.004,N/A,0.019,56200,12.9,3.2,1.4,57.7,87.1,26.3,157202.1806
AL,2018,4752600,0.656,0.265,0.043,0.013,<.01,N/A,0.019,49940,16,3.9,1.6,57.3,86.6,25.5,148927.5094
AL,2017,4741400,0.658,0.266,0.041,0.013,<.01,N/A,0.017,51110,15,4.5,2.2,56.7,86.5,25.5,143217.6293
AL,2016,4730100,0.66,0.265,0.041,0.012,0.01,N/A,0.017,47220,16.2,5.9,2.6,56.5,85.1,24.7,139181.9175
AK,2022,698600,0.577,0.028,0.073,0.061,0.128,0.016,0.116,89740,9.6,4.2,1.7,64.8,93.3,30.6,354599.5176
AK,2021,698700,0.579,0.026,0.067,0.07,0.138,0.015,0.105,81130,11.4,6.4,3.4,64.5,93.3,32.8,331952.2319
AK,2020,0,0,0,0,0,0,0,0,74750,13.4,8.4,2,63.7,93.7,31.9,315637.682
AK,2019,701700,0.6,0.022,0.07,0.06,0.151,0.015,0.083,78390,10.2,5.6,2.2,64.6,93.6,30.2,304538.8099
AK,2018,709100,0.601,0.029,0.071,0.061,0.156,0.011,0.072,68730,13.1,6,2.6,65.2,93.3,30.2,287105.3743
AK,2017,710100,0.61,0.025,0.067,0.066,0.134,0.01,0.089,72230,14.4,6.5,2.8,66,91.7,28.8,282881.3414
AK,2016,714900,0.614,0.029,0.067,0.06,0.15,0.012,0.068,75720,12.6,6.6,2.3,66.3,93.1,29.6,280635.4971
AZ,2022,7189700,0.518,0.043,0.325,0.035,0.033,0.001,0.044,73450,12.7,3.8,1.4,61.5,89.2,33,438658.733
AZ,2021,7107300,0.521,0.041,0.324,0.033,0.033,0.002,0.047,70820,12.6,5.1,3.1,61.3,89,32.4,363213.0556
AZ,2020,0,0,0,0,0,0,0,0,67090,10.9,7.8,1.8,61.4,89.1,33,293697.0823
AZ,2019,7098000,0.542,0.043,0.318,0.033,0.039,0.002,0.024,70670,9.9,4.8,1.6,62,87.6,30.2,267616.8857
AZ,2018,7004300,0.545,0.042,0.316,0.032,0.039,<.01,0.024,62280,12.8,4.8,1.7,61.2,87.5,29.7,250544.9546
AZ,2017,6841300,0.55,0.04,0.313,0.032,0.038,<.01,0.025,61130,13.2,5,1.8,60.6,87.2,29.4,232765.8344
AZ,2016,6760900,0.555,0.04,0.309,0.032,0.04,<.01,0.023,57100,16.1,5.5,1.9,60.4,86.7,28.9,217921.8948
AR,2022,2952900,0.677,0.141,0.085,0.015,0.004,0.004,0.074,53980,16.6,3.2,1.3,57.3,89.1,25.4,194822.9277
AR,2021,2936400,0.683,0.144,0.083,0.014,0.004,0.004,0.068,50780,16.8,4,2.2,56.5,88.7,25.3,174401.6205
AR,2020,0,0,0,0,0,0,0,0,50780,14.1,6.2,1.4,57.3,88.2,24.9,154522.835
AR,2019,2922500,0.721,0.152,0.078,0.016,0.006,0.004,0.024,54540,14.1,3.5,1,58.1,87.5,23.3,145709.227
AR,2018,2921300,0.722,0.15,0.077,0.015,0.01,<.01,0.027,49780,15.9,3.7,1.2,57.9,87.2,23.3,140198.8967
AR,2017,2910000,0.725,0.149,0.076,0.017,0.01,<.01,0.027,48830,14.8,3.7,1.3,58.3,86.7,23.4,135134.5919
AR,2016,2895400,0.73,0.153,0.073,0.014,0.01,<.01,0.022,45910,16,4,1.7,58.1,86,22.4,130786.0634
CA,2022,38187000,0.337,0.051,0.404,0.153,0.002,0.003,0.049,85300,11.2,4.3,2.4,61.8,84.7,37,738501.98
CA,2021,38379200,0.342,0.051,0.403,0.151,0.002,0.003,0.047,81580,11.9,7.3,4.9,61.1,84.4,36.2,650386.5632
CA,2020,0,0,0,0,0,0,0,0,77650,11.1,10.2,2.6,60.9,84.4,36.9,562502.2309
CA,2019,38642700,0.364,0.053,0.395,0.147,0.004,0.004,0.033,78100,10.1,4.1,1.6,62.4,84,35,536110.7286
CA,2018,38745900,0.367,0.054,0.394,0.146,<.01,<.01,0.033,70490,11.9,4.3,1.7,62.3,83.8,34.2,521103.4073
CA,2017,38713900,0.37,0.053,0.393,0.145,<.01,<.01,0.033,69760,12.4,4.8,2,62.3,83.3,33.6,475721.1933
CA,2016,38442400,0.375,0.054,0.39,0.142,<.01,<.01,0.033,66640,13.9,5.5,2.4,62.2,82.4,32.9,439544.1693
CO,2022,5695100,0.65,0.036,0.226,0.031,0.004,0.001,0.052,89930,8.1,3.1,1.3,68.2,93,45.9,546611.9753
CO,2021,5664200,0.653,0.036,0.222,0.031,0.003,0.002,0.053,84950,7.9,5.5,2.9,68.1,92.4,44.4,475613.7751
CO,2020,0,0,0,0,0,0,0,0,83780,9.5,6.8,1.4,67.3,92.7,44.2,411694.4001
