state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,total_crime_rate,log_total_crime_rate
AL,2022,4916000,0.645,0.252,0.048,0.014,0.002,0.0,0.039,59910,0.136,0.025,0.012,0.57,0.888,0.28800000000000003,217335.1989,11.9,12.5,9608.0,1827.0,12861.0,15169.0,189.36,36.01,253.48,298.96,73000.0,819.25,240000.0,39465.0,777.81,6.657767113682686
AL,2021,4900800,0.644,0.255,0.047,0.013,0.004,0.0,0.037,56930,0.159,0.034,0.02,0.5660000000000001,0.879,0.27399999999999997,193148.7979,14.2,14.6,6473.0,1236.0,11104.0,11055.0,128.17,24.48,219.86,218.9,86000.0,819.25,245000.0,29868.0,591.41,6.384198962737328
AL,2020,4833950,0.649,0.26,0.0455,0.0135,0.004,0.0,0.027999999999999997,54690,0.149,0.064,0.013999999999999999,0.5720000000000001,0.88,0.278,169855.5743,15.2,12.8,654.0,90.0,650.0,839.0,13.0,1.79,12.91,16.67,82000.0,819.25,249833.33333333334,2233.0,44.370000000000005,3.814851093675873
AL,2019,4767100,0.654,0.265,0.044,0.014,0.004,0.0,0.019,56200,0.129,0.032,0.013999999999999999,0.5770000000000001,0.871,0.263,157202.1806,14.8,8.3,188.0,61.0,342.0,217.0,3.74,1.21,6.8,4.32,74000.0,800.0,228000.0,808.0,16.07,2.837322536806349
AL,2018,4752600,0.656,0.265,0.043,0.013,0.01,0.0,0.019,49940,0.16,0.039,0.016,0.573,0.866,0.255,148927.5094,17.0,6.7,66.0,31.0,74.0,105.0,1.31,0.62,1.47,2.09,86000.0,829.0,255000.0,276.0,5.49,1.8702625307159986
AL,2017,4741400,0.658,0.266,0.041,0.013,0.01,0.0,0.017,51110,0.15,0.045,0.022000000000000002,0.5670000000000001,0.865,0.255,143217.6293,14.3,10.2,330.0,27.0,117.0,191.0,6.57,0.54,2.33,3.8,88000.0,813.0,265000.0,665.0,13.240000000000002,2.65605490598383
AL,2016,4730100,0.66,0.265,0.041,0.012,0.01,0.0,0.017,47220,0.162,0.059000000000000004,0.026000000000000002,0.565,0.851,0.247,139181.9175,14.1,9.5,198.0,42.0,159.0,234.0,3.94,0.84,3.17,4.66,85000.0,835.0,266000.0,633.0,12.61,2.6108048166633746
AK,2022,698600,0.577,0.028,0.073,0.061,0.128,0.016,0.116,89740,0.096,0.042,0.017,0.648,0.9329999999999999,0.306,354599.5176,44.2,18.5,313.0,75.0,844.0,1296.0,42.69,10.22,115.1,176.75,13000.0,211.5,24000.0,2528.0,344.76,5.845744892758576
AK,2021,698700,0.579,0.026,0.067,0.07,0.138,0.015,0.105,81130,0.114,0.064,0.034,0.645,0.9329999999999999,0.32799999999999996,331952.2319,61.6,26.1,329.0,77.0,849.0,1302.0,44.76,10.48,115.53,177.17,15000.0,211.5,22000.0,2557.0,347.93999999999994,5.854899987651756
AZ,2022,7189700,0.518,0.043,0.325,0.035,0.033,0.001,0.044,73450,0.127,0.038,0.013999999999999999,0.615,0.892,0.33,438658.733,19.1,20.0,7140.0,748.0,8154.0,10551.0,96.94,10.16,110.7,143.24,108000.0,1627.5,247000.0,26593.0,361.04,5.89175470295897
