year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,crimes_against_society,fraud_and_other_financial_crimes,property_crime,violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,log_total_crime_count,youth_school_poverty_interaction,poverty_income_interaction,unemployment_youth_interaction,poverty_rate_squared,median_income_squared,poverty_to_income_ratio,youth_to_total_pop_ratio,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
2022,4916000,0.645,0.252,0.048,0.014,0.002,0.0,0.039,59910,0.136,0.025,0.012,0.57,0.888,0.288,217335.1989,11.9,12.5,4804.0,913.5,6430.5,7584.5,73000.0,819.25,240000.0,19732.5,9.890072978114269,9928.0,8147.76,1825.0,0.018496000000000002,3589208100,2.270033883593998e-06,0.014849468094087043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,4900800,0.644,0.255,0.047,0.013,0.004,0.0,0.037,56930,0.159,0.034,0.02,0.5660000000000001,0.879,0.2739999999999999,193148.7979,14.2,14.6,3236.5,618.0,5552.0,5527.5,86000.0,819.25,245000.0,14934.0,9.61146273065021,13674.0,9051.87,2924.0,0.025281,3241024900,2.792854508088739e-06,0.017548151822528602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,4833950,0.649,0.26,0.0455,0.0135,0.004,0.0,0.0279999999999999,54690,0.149,0.064,0.0139999999999999,0.5720000000000001,0.88,0.278,169855.5743,15.2,12.8,327.0,45.0,325.0,419.5,82000.0,819.25,249833.33333333337,1116.5,7.018849326487724,12218.0,8148.8099999999995,5248.0,0.022201,2990996100,2.72439706715913e-06,0.0169633494423092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,4767100,0.654,0.265,0.044,0.014,0.004,0.0,0.019,56200,0.129,0.032,0.0139999999999999,0.5770000000000001,0.871,0.263,157202.1806,14.8,8.3,94.0,30.5,171.0,108.5,74000.0,800.0,228000.0,404.0,6.003887067106539,9546.0,7249.8,2368.0,0.016641,3158440000,2.2953328232593725e-06,0.015523061080518328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4752600,0.656,0.265,0.043,0.013,0.01,0.0,0.019,49940,0.16,0.039,0.016,0.573,0.866,0.255,148927.5094,17.0,6.7,33.0,15.5,37.0,52.5,86000.0,829.0,255000.0,138.0,4.9344739331306915,13760.0,7990.400000000001,3354.0,0.0256,2494003600,3.203780460943914e-06,0.018095354522712933,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,4741400,0.658,0.266,0.041,0.013,0.01,0.0,0.017,51110,0.15,0.045,0.022,0.5670000000000001,0.865,0.255,143217.6293,14.3,10.2,165.0,13.5,58.5,95.5,88000.0,813.0,265000.0,332.5,5.809642865355678,13200.0,7666.5,3960.0,0.0225,2612232100,2.934788988671714e-06,0.018559915096824756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,4730100,0.66,0.265,0.041,0.012,0.01,0.0,0.017,47220,0.162,0.059,0.026,0.565,0.851,0.247,139181.9175,14.1,9.5,99.0,21.0,79.5,117.0,85000.0,835.0,266000.0,316.5,5.760477818332746,13770.0,7649.64,5015.0,0.026244,2229728400,3.430677029287817e-06,0.017970017976360334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,698600,0.577,0.028,0.073,0.061,0.128,0.016,0.116,89740,0.096,0.042,0.017,0.648,0.933,0.306,354599.5176,44.2,18.5,156.5,37.5,422.0,648.0,13000.0,211.5,24000.0,1264.0,7.142827401161621,1248.0,8615.04,546.0,0.009216,8053267600,1.069745155503059e-06,0.018608619226139097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,698700,0.579,0.026,0.067,0.07,0.138,0.015,0.105,81130,0.114,0.064,0.034,0.645,0.933,0.3279999999999999,331952.2319,61.6,26.1,164.5,38.5,424.5,651.0,15000.0,211.5,22000.0,1278.5,7.154224655599844,1710.0,9248.82,960.0,0.012996,6582076900,1.4051349052766513e-06,0.021468410664933928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,7189700,0.518,0.043,0.325,0.035,0.033,0.001,0.044,73450,0.127,0.038,0.0139999999999999,0.615,0.892,0.33,438658.733,19.1,20.0,3570.0,374.0,4077.0,5275.5,108000.0,1627.5,247000.0,13296.5,9.495331326616473,13716.0,9328.15,4104.0,0.016129,5394902500,1.7290438523641612e-06,0.01502148698534195,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
