state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
AL,2022,4916000,0.645,0.252,0.048,0.014,0.002,,0.039,59910,13.6,2.5,1.2,57.0,88.8,28.8,217335.1989,11.9,12.5,15-24,9608.0,1827.0,12861.0,15169.0,189.36,36.01,253.48,298.96,73000.0,,240000.0
AL,2021,4900800,0.644,0.255,0.047,0.013,0.004,,0.037,56930,15.9,3.4,2.0,56.6,87.9,27.4,193148.7979,14.2,14.6,15-24,6473.0,1236.0,11104.0,11055.0,128.17,24.48,219.86,218.9,86000.0,,245000.0
AL,2020,0,0.0,0,0.0,0.0,0,0,0.0,54690,14.9,6.4,1.4,57.2,88.0,27.8,169855.5743,15.2,12.8,15-24,654.0,90.0,650.0,839.0,13.0,1.79,12.91,16.67,,,
AL,2019,4767100,0.654,0.265,0.044,0.014,0.004,,0.019,56200,12.9,3.2,1.4,57.7,87.1,26.3,157202.1806,14.8,8.3,15-24,188.0,61.0,342.0,217.0,3.74,1.21,6.8,4.32,74000.0,800.0,228000.0
AL,2018,4752600,0.656,0.265,0.043,0.013,<.01,,0.019,49940,16.0,3.9,1.6,57.3,86.6,25.5,148927.5094,17.0,6.7,15-24,66.0,31.0,74.0,105.0,1.31,0.62,1.47,2.09,86000.0,829.0,255000.0
AL,2017,4741400,0.658,0.266,0.041,0.013,<.01,,0.017,51110,15.0,4.5,2.2,56.7,86.5,25.5,143217.6293,14.3,10.2,15-24,330.0,27.0,117.0,191.0,6.57,0.54,2.33,3.8,88000.0,813.0,265000.0
AL,2016,4730100,0.66,0.265,0.041,0.012,0.01,,0.017,47220,16.2,5.9,2.6,56.5,85.1,24.7,139181.9175,14.1,9.5,15-24,198.0,42.0,159.0,234.0,3.94,0.84,3.17,4.66,85000.0,835.0,266000.0
AK,2022,698600,0.577,0.028,0.073,0.061,0.128,0.016,0.116,89740,9.6,4.2,1.7,64.8,93.3,30.6,354599.5176,44.2,18.5,15-24,313.0,75.0,844.0,1296.0,42.69,10.22,115.1,176.75,13000.0,,24000.0
AK,2021,698700,0.579,0.026,0.067,0.07,0.138,0.015,0.105,81130,11.4,6.4,3.4,64.5,93.3,32.8,331952.2319,61.6,26.1,15-24,329.0,77.0,849.0,1302.0,44.76,10.48,115.53,177.17,15000.0,,22000.0
AK,2020,0,0.0,0,0.0,0.0,0,0,0.0,74750,13.4,8.4,2.0,63.7,93.7,31.9,315637.682,48.2,23.1,,,,,,,,,,,,
AK,2019,701700,0.6,0.022,0.07,0.06,0.151,0.015,0.083,78390,10.2,5.6,2.2,64.6,93.6,30.2,304538.8099,56.0,,,,,,,,,,,13000.0,213.0,23000.0
AK,2018,709100,0.601,0.029,0.071,0.061,0.156,0.011,0.072,68730,13.1,6.0,2.6,65.2,93.3,30.2,287105.3743,42.3,11.1,,,,,,,,,,14000.0,208.0,25000.0
AK,2017,710100,0.61,0.025,0.067,0.066,0.134,0.01,0.089,72230,14.4,6.5,2.8,66.0,91.7,28.8,282881.3414,44.3,11.8,,,,,,,,,,13000.0,218.0,27000.0
AK,2016,714900,0.614,0.029,0.067,0.06,0.15,0.012,0.068,75720,12.6,6.6,2.3,66.3,93.1,29.6,280635.4971,45.6,16.1,,,,,,,,,,17000.0,207.0,26000.0
AZ,2022,7189700,0.518,0.043,0.325,0.035,0.033,0.001,0.044,73450,12.7,3.8,1.4,61.5,89.2,33.0,438658.733,19.1,20.0,15-24,7140.0,748.0,8154.0,10551.0,96.94,10.16,110.7,143.24,108000.0,,247000.0
AZ,2021,7107300,0.521,0.041,0.324,0.033,0.033,0.002,0.047,70820,12.6,5.1,3.1,61.3,89.0,32.4,363213.0556,20.0,30.9,15-24,5407.0,591.0,6487.0,8037.0,74.35,8.13,89.2,110.51,105000.0,,275000.0
AZ,2020,0,0.0,0,0.0,0.0,0,0,0.0,67090,10.9,7.8,1.8,61.4,89.1,33.0,293697.0823,19.0,37.6,15-24,3932.0,265.0,3218.0,3350.0,54.71,3.69,44.78,46.61,,,
AZ,2019,7098000,0.542,0.043,0.318,0.033,0.039,0.002,0.024,70670,9.9,4.8,1.6,62.0,87.6,30.2,267616.8857,15.7,27.2,15-24,1384.0,99.0,1243.0,1001.0,19.33,1.38,17.36,13.99,106000.0,1496.0,308000.0
