State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
AK,15-24,2021,329,77,849,1302,44.76,10.48,115.53,177.17
AK,15-24,2022,313,75,844,1296,42.69,10.22,115.1,176.75
AL,15-24,2016,198,42,159,234,3.94,0.84,3.17,4.66
AL,15-24,2017,330,27,117,191,6.57,0.54,2.33,3.8
AL,15-24,2018,66,31,74,105,1.31,0.62,1.47,2.09
AL,15-24,2019,188,61,342,217,3.74,1.21,6.8,4.32
AL,15-24,2020,654,90,650,839,13.0,1.79,12.91,16.67
AL,15-24,2021,6473,1236,11104,11055,128.17,24.48,219.86,218.9
AL,15-24,2022,9608,1827,12861,15169,189.36,36.01,253.48,298.96
AR,15-24,2016,8388,1533,14979,13182,278.53,50.9,497.4,437.72
AR,15-24,2017,8688,1477,13350,12154,288.5,49.05,443.3,403.59
AR,15-24,2018,8729,1549,13266,12532,289.86,51.44,440.52,416.14
AR,15-24,2019,7783,1303,12223,12191,258.45,43.27,405.88,404.81
AR,15-24,2020,6632,1348,11353,11689,220.02,44.72,376.63,387.78
AR,15-24,2021,6463,1057,10281,12184,213.41,34.91,339.48,402.32
AR,15-24,2022,6056,1051,9922,11837,198.8,34.5,325.69,388.56
AZ,15-24,2016,1415,97,1315,899,19.76,1.36,18.37,12.56
AZ,15-24,2017,1679,142,1374,940,23.46,1.98,19.19,13.14
AZ,15-24,2018,1387,103,1226,991,19.38,1.44,17.13,13.85
AZ,15-24,2019,1384,99,1243,1001,19.33,1.38,17.36,13.99
AZ,15-24,2020,3932,265,3218,3350,54.71,3.69,44.78,46.61
AZ,15-24,2021,5407,591,6487,8037,74.35,8.13,89.2,110.51
AZ,15-24,2022,7140,748,8154,10551,96.94,10.16,110.7,143.24
CA,15-24,2021,8335,1423,10018,16248,21.29,3.63,25.59,41.5
CA,15-24,2022,15067,2955,19680,31248,38.59,7.57,50.41,80.04
CO,15-24,2016,11322,2927,22499,12664,196.09,50.69,389.68,219.34
CO,15-24,2017,11032,2825,20245,13095,191.07,48.93,350.65,226.8
CO,15-24,2018,10508,2705,18883,13423,182.0,46.85,327.05,232.49
CO,15-24,2019,8643,2686,17194,12437,149.7,46.52,297.8,215.4
CO,15-24,2020,6131,2138,16085,12092,105.98,36.96,278.04,209.01
CO,15-24,2021,6058,1957,15308,13459,104.24,33.67,263.4,231.59
CO,15-24,2022,6716,1877,15521,13420,114.98,32.13,265.72,229.75
CT,15-24,2016,4295,597,5507,5703,119.11,16.55,152.72,158.16
CT,15-24,2017,3937,521,5135,5433,109.19,14.45,142.4,150.67
CT,15-24,2018,3637,505,4599,5554,100.86,14.0,127.54,154.03
CT,15-24,2019,3420,504,4422,5601,94.84,13.98,122.64,155.33
CT,15-24,2020,2057,326,3582,4806,57.5,9.12,100.12,134.34
CT,15-24,2021,1817,293,3329,5400,50.42,8.13,92.38,149.85
CT,15-24,2022,1572,305,3259,5423,43.56,8.45,90.31,150.27
DC,15-24,2016,213,11,387,819,30.89,1.6,56.12,118.78
DC,15-24,2017,182,10,332,774,26.4,1.45,48.15,112.24
DC,15-24,2018,189,6,311,725,27.41,0.87,45.1,105.14
DC,15-24,2019,322,3,397,968,46.7,0.44,57.57,140.39
DC,15-24,2020,125,3,181,428,18.64,0.45,26.99,63.8
DC,15-24,2021,482,56,964,1964,72.05,8.37,144.09,293.56
DC,15-24,2022,1354,111,2352,4274,201.8,16.55,350.55,637.01
