State,Year,Youth not in School,Youth in Foster_care,Youth living in poverty
AL,2022,73000,,240000
AL,2021,86000,,245000
AL,2019,74000,800,228000
AL,2018,86000,829,255000
AL,2017,88000,813,265000
AL,2016,85000,835,266000
AK,2022,13000,,24000
AK,2021,15000,,22000
AK,2019,13000,213,23000
AK,2018,14000,208,25000
AK,2017,13000,218,27000
AK,2016,17000,207,26000
AZ,2022,108000,,247000
AZ,2021,105000,,275000
AZ,2019,106000,1496,308000
AZ,2018,116000,1570,325000
AZ,2017,109000,1659,332000
AZ,2016,114000,1785,379000
AR,2022,58000,,151000
AR,2021,56000,,155000
AR,2019,46000,456,151000
AR,2018,54000,470,171000
AR,2017,54000,442,156000
AR,2016,57000,465,165000
CA,2022,522000,,1278000
CA,2021,570000,,1363000
CA,2019,482000,9333,1364000
CA,2018,512000,10151,1541000
CA,2017,545000,8540,1619000
CA,2016,560000,10266,1785000
CO,2022,60000,,133000
CO,2021,73000,,145000
CO,2019,58000,1305,135000
CO,2018,61000,1467,149000
CO,2017,59000,1522,149000
CO,2016,70000,1594,166000
CT,2022,42000,,90000
CT,2021,38000,,92000
CT,2019,36000,909,101000
CT,2018,39000,931,102000
CT,2017,43000,1025,93000
CT,2016,38000,1059,96000
DE,2022,9000,,26000
DE,2021,8000,,35000
DE,2019,11000,133,32000
DE,2018,12000,155,37000
DE,2017,13000,153,37000
DE,2016,15000,127,35000
DC,2022,5000,,21000
DC,2021,11000,,29000
DC,2019,12000,109,24000
DC,2018,9000,122,29000
DC,2017,11000,139,32000
DC,2016,13000,155,31000
FL,2022,268000,,723000
FL,2021,267000,,753000
FL,2019,249000,2592,737000
FL,2018,268000,1858,819000
FL,2017,266000,2080,840000
FL,2016,267000,2035,859000
GA,2022,162000,,411000
GA,2021,175000,,502000
GA,2019,169000,1381,461000
GA,2018,166000,1400,505000
GA,2017,172000,1388,519000
GA,2016,167000,1311,566000
HI,2022,16000,,37000
HI,2021,18000,,41000
HI,2019,17000,260,36000
HI,2018,14000,234,35000
HI,2017,17000,236,34000
HI,2016,18000,210,31000
ID,2022,25000,,61000
ID,2021,23000,,60000
